age,Log
25,0.0778524557428995
25,-1.15855593588569
25,-2.88373730678212
29,3.96930966702052
19,12.7565668621664
25,5.44753868248506
25,1.64020410974454
26,1.07211873696152
24,-1.2646946101459
35,15.6849025854838
34,3.01508097362479
36,4.72713131889607
31,3.25173942587998
32,11.2333685427393
36,-2.235027548805
35,1.51858708039969
33,-2.28720586421326
37,2.00887959212869
35,10.2703840546149
37,-0.605672607804661
36,0.97114068507774
35,-0.222633054984564
34,6.7987388508504
36,9.3745085424452
37,2.78272366248341
32,5.35448372311528
32,-2.47229448795087
38,11.9178093173776
38,-0.454042859436291
45,1.90862276707562
47,8.28855836483189
48,-2.71014989529606
48,7.32460165132833
40,4.60102075562313
45,13.7389993075518
41,4.65461952423803
47,4.407659637254
42,4.76189822638646
40,16.0817090620715
41,8.79484087757883
48,3.2377408184535
44,24.9530833902044
50,3.16320944187236
56,0.377525777221842
54,1.60736539844862
49,1.36228949436303
56,3.47074957108482
52,10.7184552239471
58,7.46100119079263
58,18.316941673345
56,19.7403805638299
48,0.560569667411838
54,13.9963303191865
51,-1.77456893589592
59,8.63505859784094
64,3.24980039805286
59,3.83781938874158
62,12.3299311044121
62,10.5500284261538
64,9.69385653374543
61,21.6457058182058
60,5.22956974384328
62,8.28907757576732
66,7.17843632946291
58,0.991320176970698
65,0.109759887403487
69,17.3563747518764
71,8.08695616590592
71,20.665888302928
69,5.11336933608763
70,16.7058973962881
74,-1.97498983996097
71,-0.127777173995876
77,5.12751893055827
78,5.63021559387724
80,4.8930274044073
79,12.3634893598772
79,6.84823246077941
80,11.2999968958309
79,10.4438041605574
80,12.0912919855842
